Cluster,Size,Pct,Movies,TV_Shows,Top_Genre
0,387,5.0%,16,371,Kids' TV
1,770,9.9%,768,2,Documentaries
2,837,10.7%,794,43,Children & Family Movies
3,225,2.9%,0,225,British TV Shows
4,316,4.1%,316,0,Romantic Movies
5,688,8.8%,588,100,Action & Adventure
6,595,7.6%,595,0,International Movies
7,1433,18.4%,1186,247,Dramas
8,685,8.8%,683,2,International Movies
9,397,5.1%,397,0,International Movies
10,339,4.4%,0,339,Docuseries
11,787,10.1%,1,786,International TV Shows
12,180,2.3%,33,147,International TV Shows
13,148,1.9%,0,148,Spanish-Language TV Shows
